date,actual,split,forecast
2020-01-01,7512.733529432759,validation,7603.80063548586
2020-02-01,7941.515070351391,validation,7590.780739148411
2020-03-01,7533.736569408685,validation,7600.925869604065
2020-04-01,7209.520101152639,validation,7612.477735739864
2020-05-01,6499.857251537734,validation,7630.544966998115
2020-06-01,6694.648013475818,validation,7648.6543642479
2020-07-01,7095.831822594811,validation,7668.815914464004
2020-08-01,7430.083006707859,validation,7688.838609168616
2020-09-01,6666.320938200717,validation,7709.43187702024
2020-10-01,5855.74394110227,validation,7729.85868173987
2020-11-01,5555.275602812615,validation,7750.373481056612
2020-12-01,5664.265569350756,validation,7770.737958162663
2021-01-01,4841.863004371764,validation,7791.049797003973
2021-02-01,4582.993424023525,validation,7811.238984403135
2021-03-01,4055.2,validation,7831.347982181183
2021-04-01,4470.738472224253,validation,7851.361679105326
2021-05-01,4032.831217910092,validation,7871.301803798514
2021-06-01,4060.0459080962846,validation,7891.169796961971
2021-07-01,2805.884166609781,validation,7910.978609095438
2021-08-01,3543.508985941734,validation,7930.733625573461
2021-09-01,2704.1872990039246,validation,7950.44341384317
2021-10-01,2269.211946488995,validation,7970.1134198507725
2021-11-01,1588.37233054694,validation,7989.749641244943
2021-12-01,3139.2264604363068,validation,8009.356588046834
2022-01-01,2361.645210710561,validation,8028.93857118782
2022-02-01,2311.250466948733,validation,8048.4990744194365
2022-03-01,1917.0,validation,8068.041230998148
2024-01-01,4496.0,test,8087.567654171325
2024-02-01,4520.0,test,8107.080630982785
2024-03-01,4960.0,test,8126.5820956182015
2024-04-01,5471.0,test,8146.07371978703
2024-05-01,5410.0,test,8165.556925930757
2024-06-01,5654.0,test,8185.032936327982
2024-07-01,5652.0,test,8204.502793757401
2024-08-01,5959.0,test,8223.967391801683
2024-09-01,5994.0,test,8243.427493667506
2024-10-01,6472.0,test,8262.883752502057
2024-11-01,6451.0,test,8282.336726408288
2024-12-01,6122.0,test,8301.786892696453
2025-01-01,6065.0,test,8321.234659287189
2025-02-01,6086.0,test,8340.680374934032
2025-03-01,6531.0,test,8360.124337703915
2025-04-01,,test,8379.566802385943
2025-05-01,,test,8399.007986739281
2025-06-01,,test,8418.448076887516
