date,actual,split,forecast
2020-01-01,7512.733529432759,validation,7642.393000751939
2020-02-01,7941.515070351391,validation,7642.393000751939
2020-03-01,7533.736569408685,validation,7642.393000751939
2020-04-01,7209.520101152639,validation,7642.393000751939
2020-05-01,6499.857251537734,validation,7642.393000751939
2020-06-01,6694.648013475818,validation,7642.393000751939
2020-07-01,7095.831822594811,validation,7642.393000751939
2020-08-01,7430.083006707859,validation,7642.393000751939
2020-09-01,6666.320938200717,validation,7642.393000751939
2020-10-01,5855.74394110227,validation,7642.393000751939
2020-11-01,5555.275602812615,validation,7642.393000751939
2020-12-01,5664.265569350756,validation,7642.393000751939
2021-01-01,4841.863004371764,validation,7642.393000751939
2021-02-01,4582.993424023525,validation,7642.393000751939
2021-03-01,4055.2,validation,7642.393000751939
2021-04-01,4470.738472224253,validation,7642.393000751939
2021-05-01,4032.831217910092,validation,7642.393000751939
2021-06-01,4060.0459080962846,validation,7642.393000751939
2021-07-01,2805.884166609781,validation,7642.393000751939
2021-08-01,3543.508985941734,validation,7642.393000751939
2021-09-01,2704.1872990039246,validation,7642.393000751939
2021-10-01,2269.211946488995,validation,7642.393000751939
2021-11-01,1588.37233054694,validation,7642.393000751939
2021-12-01,3139.2264604363068,validation,7642.393000751939
2022-01-01,2361.645210710561,validation,7642.393000751939
2022-02-01,2311.250466948733,validation,7642.393000751939
2022-03-01,1917.0,validation,7642.393000751939
2022-04-01,1812.0,validation,7642.393000751939
2022-05-01,1887.0,validation,7642.393000751939
2022-06-01,1854.0,validation,7642.393000751939
2022-07-01,1817.0,validation,7642.393000751939
2022-08-01,1717.0,validation,7642.393000751939
2022-09-01,1779.0,validation,7642.393000751939
2022-10-01,1705.0,validation,7642.393000751939
2022-11-01,1806.0,validation,7642.393000751939
2022-12-01,1898.0,validation,7642.393000751939
2023-01-01,2121.0,test,7642.393000751939
2023-02-01,2219.0,test,7642.393000751939
2023-03-01,2694.0,test,7642.393000751939
2023-04-01,2761.0,test,7642.393000751939
2023-05-01,3491.0,test,7642.393000751939
2023-06-01,3724.0,test,7642.393000751939
2023-07-01,3765.0,test,7642.393000751939
2023-08-01,3600.0,test,7642.393000751939
2023-09-01,3540.0,test,7642.393000751939
2023-10-01,3569.0,test,7642.393000751939
2023-11-01,3571.0,test,7642.393000751939
2023-12-01,4392.0,test,7642.393000751939
2024-01-01,4496.0,test,7642.393000751939
2024-02-01,4520.0,test,7642.393000751939
2024-03-01,4960.0,test,7642.393000751939
2024-04-01,5471.0,test,7642.393000751939
2024-05-01,5410.0,test,7642.393000751939
2024-06-01,5654.0,test,7642.393000751939
2024-07-01,5652.0,test,7642.393000751939
2024-08-01,5959.0,test,7642.393000751939
2024-09-01,5994.0,test,7642.393000751939
2024-10-01,6472.0,test,7642.393000751939
2024-11-01,6451.0,test,7642.393000751939
2024-12-01,6122.0,test,7642.393000751939
2025-01-01,6065.0,test,7642.393000751939
2025-02-01,6086.0,test,7642.393000751939
2025-03-01,6531.0,test,7642.393000751939
2025-04-01,6327.0,test,7642.393000751939
2025-05-01,6286.0,test,7642.393000751939
2025-06-01,6081.0,test,7642.393000751939
2025-07-01,6147.0,test,7642.393000751939
2025-08-01,6178.0,test,7642.393000751939
2025-09-01,6244.0,test,7642.393000751939
2025-10-01,6216.0,test,7642.393000751939
2025-11-01,6034.0,test,7642.393000751939
2025-12-01,6825.0,test,7642.393000751939
